"countyfips","gps_workplaces"
35045,-0.12
35047,-0.214
35049,-0.211
35051,-0.237
35053,-0.0457
35055,-0.189
35057,-0.194
35061,-0.07
36001,-0.317
36003,-0.253
36005,-0.296
36007,-0.244
36009,-0.134
36011,-0.161
36013,-0.0129
36015,-0.231
36017,-0.187
36019,-0.153
36021,-0.0857
36023,-0.06
36025,-0.189
36027,-0.23
36029,-0.263
36031,-0.194
36033,-0.146
36035,-0.133
36037,-0.166
36039,-0.09
36043,-0.161
36045,-0.0586
36047,-0.344
36049,-0.123
36051,-0.2
36053,-0.151
36055,-0.217
36057,-0.09
36059,-0.271
36061,-0.404
36063,-0.0829
36065,-0.159
36067,-0.197
36069,-0.189
36071,-0.277
36073,-0.101
36075,-0.0686
36077,-0.211
36079,-0.279
36081,-0.246
36083,-0.166
36085,-0.25
36087,-0.374
36089,-0.0929
36091,-0.216
36093,-0.264
36095,-0.18
36097,-0.0814
36099,-0.1
36101,-0.187
36103,-0.18
36105,-0.0357
36107,-0.157
36109,-0.244
36111,-0.216
36113,-0.104
36115,-0.196
36117,-0.109
36119,-0.23
36121,-0.16
36123,-0.2
37001,-0.234
37003,-0.194
37005,NA
37007,-0.143
37009,-0.129
37011,0.154
37013,-0.163
37015,-0.117
37017,-0.121
37019,-0.0771
37021,-0.231
37023,-0.11
37025,-0.184
37027,-0.0829
37029,NA
37031,2.66e-10
37033,-0.136
37035,-0.1
37037,-0.243
37039,-0.0943
37041,NA
37043,NA
37045,-0.0971
37047,-0.01
37049,-0.2
37051,-0.151
37053,0.0157
37055,0.0529
37057,-0.146
37059,-0.174
37061,-0.0886
37063,-0.287
37065,-0.173
37067,-0.206
37069,-0.169
37071,-0.181
37073,NA
37075,NA
37077,-0.16
37079,-0.126
37081,-0.194
37083,-0.223
37085,-0.06
37087,-0.0914
37089,-0.101
37091,-0.0857
37093,-0.18
37097,-0.264
37099,-0.17
37101,-0.0757
37103,NA
37105,-0.194
37107,-0.163
37109,-0.18
37111,-0.104
37113,-0.0143
37115,-0.101
37117,-0.13
37119,-0.29
37121,NA
37123,-0.149
37125,-0.187
37127,-0.136
37129,-0.151
37131,-0.13
37133,-0.21
37135,-0.233
37137,NA
37139,-0.119
37141,-0.151
37143,NA
37145,-0.109
37147,-0.184
37149,-0.164
37151,0.0443
37153,-0.124
37155,-0.106
37157,-0.129
37159,-0.201
37161,-0.14
37163,-0.124
37165,-0.0471
37167,-0.173
37169,-0.179
37171,-0.164
37173,-0.137
37175,-0.104
37179,-0.201
37181,-0.211
37183,-0.301
37185,-0.119
37187,NA
37189,-0.0529
37191,-0.176
37193,-0.153
37195,-0.243
37197,-0.139
37199,-0.22
38003,NA
38015,-0.141
38017,-0.189
38025,NA
38035,-0.126
38053,-0.354
38055,NA
38057,NA
38059,-0.153
38061,NA
38067,NA
38071,NA
38073,NA
38077,0.0271
38079,NA
38089,-0.156
38093,-0.101
38097,NA
38099,NA
38101,-0.05
38105,-0.254
39001,-0.0857
39003,-0.199
39005,-0.11
39007,-0.0586
39009,-0.213
39011,-0.147
39013,-0.0843
39015,-0.226
39017,-0.147
39019,-0.14
