"year","age","eqwlth","conlegis","degree","racehisp"
2010,60,2,"Only some","Grad/Prof Degree","White"
2010,55,6,"Hardly any","HS Diploma","White"
2010,41,5,"Hardly any","HS Diploma","White"
2010,20,2,"A great deal","HS Diploma","Black"
2010,67,5,"Hardly any","Grad/Prof Degree","White"
2010,58,4,"Only some","HS Diploma","White"
2010,60,1,"Only some","Some College","White"
2010,60,6,"Hardly any","Some College","White"
2010,31,3,"Only some","HS Diploma","White"
2010,67,5,"A great deal","Bachelor's Degree","White"
2010,60,4,"Only some","HS Diploma","White"
2010,77,7,"Only some","HS Diploma","White"
2010,41,6,"Only some","Grad/Prof Degree","White"
